store_number,longitude,latitude,name,address,city,state,zipcode,phone,hours_today,open_status,has_drive_thru,has_wifi,has_indoor_dining,has_24_hours,timezone
1819,-80.211831,25.773374,FLAGLER,1016 W Flagler St,Miami,FL,33130,(305) 545-7788,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
7166,-80.189163,25.809965,MIAMI-BISCAYNE,3501 Biscayne Blvd,Miami,FL,33137,(305) 573-6064,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
14665,-98.475368,26.248177,"LA JOYA, HWY 83",401 E Expressway 83,La Joya,TX,78560,(956) 580-0339,05:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
33389,-98.442757,26.246687,"PENITAS, HWY 83",1703 EXPRESSWAY 83 (Walmart),Penitas,TX,78576,(956) 583-4994,06:00 - 23:00,OPEN,0,0,0,0,(GMT-06:00) Central Time (US & Canada)
6417,-98.324314,26.201453,MISSION-US 83,303 E Expy 83,Mission,TX,78572,(956) 581-1144,05:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
22019,-98.289113,26.194476,CHEV-EXP 83-SHAR,804 S Shary Rd,Mission,TX,78572,(956) 583-2790,05:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
37987,-98.216356,26.124731,JACKSON @ DICKER,7501 S Jackson Rd,Pharr,TX,78577,(956) 715-8845,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
10490,-98.232393,26.186557,MCALLEN-SOUTH 10,1901 S 10th St,Mcallen,TX,78503,(956) 687-7707,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
34901,-98.315599,26.257531,PALMHURST,224 East Mile 3 Road,Palmhurst,TX,78573,(956) 581-0105,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
12804,-98.259821,26.220043,MCALLEN PE,3700 Pecan Boulevard,Mcallen,TX,78502,(956) 630-5711,05:00 - 00:30,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
17763,-98.205812,26.199642,83 AT JACKSON,1217 E Hwy 83,Mcallen,TX,78501,(956) 994-8911,04:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
35324,-98.24648,26.240568,NOLANA @ 29TH,2801 Nolana Ave,Mcallen,TX,78504,(956) 688-6236,06:00 - 23:00,OPEN,0,0,0,0,(GMT-06:00) Central Time (US & Canada)
35753,-98.189874,26.180673,RIDGE   CA,301 W Ridge Rd,Pharr,TX,78577,(956) 783-6236,06:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
36031,-98.314087,26.288633,ALTON,217 N Alton,Alton,TX,78573,(956) 585-6237,06:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
6916,-98.225167,26.22921,MCALLEN-10TH ST.,2808 N 10th St,Mcallen,TX,78501,(956) 687-5898,04:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
21338,-98.166789,26.191385,83-I SAN JUAN,824 W Business 83,San Juan,TX,78589,(956) 702-5299,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
43062,-97.992515,26.14123,WESLACO SOUTH,200 W. 18th St.,Weslaco,TX,78596,(956) 877-3062,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
17859,-97.957381,26.153181,WESLACO,3318 E Bus Hwy 83,Weslaco,TX,78596,(956) 514-2454,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
38538,-97.91371,26.15302,MERCEDES,216 N Texas Ave,Mercedes,TX,78570,(956) 294-1218,04:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
5132,-97.99137,26.172143,WESLACO-TEXAS BL,1025 N Texas,Weslaco,TX,78596-4510,(956) 968-6554,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
18785,-98.040966,26.178912,DONNA,602 N Salinas Blvd,Donna,TX,78537,(956) 461-3388,05:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
40947,-97.958266,26.185155,WESLACO,2510 N. International Blvd.,Weslaco,TX,78599,(956) 855-7947,00:00 - 00:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
41005,-98.126454,26.171757,ALAMO SOUTH,1119 W Ridge Road,Alamo,TX,78516,(956) 974-1106,06:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
26036,-98.121404,26.192024,ALAMO/US 83,1018 Frontage Rd,Alamo,TX,78516,(956) 283-1130,05:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
19089,-97.822997,26.16476,LA FERIA,204 E Expressway 83,La Feria,TX,78559,(956) 797-1461,06:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
40960,-98.148077,26.229672,LONGORIA SANJUAN,3701 N Raul Longoria Rd,San Juan,TX,78589,(956) 855-6960,05:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
19437,-98.179535,26.233966,PHARR,104 W Nolana Loop,Pharr,TX,78577,(956) 783-2512,05:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
26344,-97.992807,26.293112,"ELSA, 107 & 88",112 E Edinburg Ave,Elsa,TX,78543,(956) 262-3226,00:00 - 00:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
34387,-98.168213,26.26189,401 E TRENTON RD,401 E Trenton,Edinburg,TX,78539,(956) 292-0161,05:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
43133,-97.758364,26.211609,"HARLINGEN, TX",23994 Stuart Place Rd,Harlingen,TX,78552,(956) 807-1133,04:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
13652,-97.72039,26.181292,DIXIELAND/LINCOL,2305 W Lincoln,Harlingen,TX,78550,(956) 412-9292,04:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
25554,-98.146131,26.299655,1605 E  UN,1605 E University Dr,Edinburg,TX,78539,(956) 387-0516,05:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
17280,-98.218203,26.268868,TENTH/TRENTON,7320 N 10th,Mcallen,TX,78504,(956) 972-1476,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
11705,-97.6729,26.171918,"HARLNGN,77&EDCAR",2020 S Sunshine Strip,Harlingen,TX,78550,(956) 428-7997,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
14318,-98.18585,26.304312,UNIVERSITY DR.,2120 W University Dr,Edinburg,TX,78539,(956) 316-3333,00:00 - 00:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
4245,-97.679922,26.198574,HARLNGN-N 77 SSS,602 N Sunshine Strip,Harlingen,TX,78550-8846,(956) 421-2207,05:00 - 23:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
7019,-97.63656,26.125974,SAN BENITO-US 83,821 S Sam Houston,San Benito,TX,78586-3062,(956) 399-4033,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
25416,-97.636999,26.146543,SUNSHINE S,1144 Business Hwy 77,San Benito,TX,78586,(956) 399-6845,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
39921,-97.483454,25.983416,BROWNSVILLE-PARE,5500 Paredes Line Rd,Brownsville,TX,78526,(956) 427-5848,00:00 - 00:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
34972,-97.513509,25.967408,MORRISON @ HWY 7,4315 N Expressway 77,Brownsville,TX,78526,(956) 350-2527,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
32933,-97.486278,25.952244,"BROWNSVILLE, FM",117 America Drive,Brownsville,TX,78526,(956) 554-9821,00:00 - 00:00,OPEN,0,0,0,1,(GMT-06:00) Central Time (US & Canada)
11088,-97.504128,25.948421,BROWNSVLE/H-77,2260 N Expressway,Brownsville,TX,78521,(956) 544-4800,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
43113,-97.544717,25.944937,MILITARY RD,2025 U.S. Hwy 281,Brownsville,TX,78520,(956) 709-2013,00:00 - 00:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
26558,-97.511905,25.926565,"BROWNSVILLE, BOC",1609 Central Blvd,Brownsville,TX,78520,(956) 504-9442,00:00 - 00:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
34826,-97.475018,26.071901,LOS FRESNOS,115 Ocean Boulevard,Los Fresnos,TX,78566,(956) 233-1711,00:00 - 00:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
4391,-97.491405,25.921255,BRWNSVL-S EXPRSY,101 S Expressway,Brownsville,TX,78520-8049,(956) 541-1031,05:00 - 01:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
11300,-97.46697,25.919916,BROWNSVLE/14TH,4484 E 14th St,Brownsville,TX,78521-3240,(956) 542-5088,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
20013,-97.426725,25.943663,HWY 48 & FM 802,7400 Padre Island Hwy,Brownsville,TX,78521,(956) 831-4505,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
11332,-97.490927,25.901047,BROWNSVL/INTL,1104 International Blvd,Brownsville,TX,78520-6844,(956) 544-8406,04:00 - 01:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
14257,-97.447317,25.893775,BROWNSVILLE,4690 Southmost Rd,Brownsville,TX,78520,(956) 443-4781,00:00 - 00:00,OPEN,0,0,1,1,(GMT-06:00) Central Time (US & Canada)
10905,-97.164315,26.091091,SO. PAD. IS/PADR,908 S Padre Blvd,South Padre Island,TX,78597,(956) 761-4999,05:00 - 23:00,OPEN,0,0,1,0,(GMT-06:00) Central Time (US & Canada)
2523,-81.771608,26.130056,NAPLES EAS,2886 E Tamiami Trl,Naples,FL,34112,(239) 774-3931,05:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
10772,-81.727494,25.952874,MARCO ISL.,899 N Collier Blvd,Marco Island,FL,34145,(239) 642-8899,05:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
3625,-81.800778,26.197894,NAPLES NORTH,4245 N Tamiami Trl,Naples,FL,34103-3104,(239) 262-2243,05:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
13139,-81.70224,26.066057,FREEDOM SQ,12615 Tamiami Trl E,Naples,FL,34113,(239) 732-0117,05:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
10750,-81.769094,26.213836,RIDGEPORT,5465 N Airport Rd,Naples,FL,34109,(239) 566-2004,05:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
11748,-81.688179,26.155437,DAVIS BLVD.,8875 Davis Blvd,Naples,FL,34104,(239) 455-7745,05:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
15834,-81.730039,26.212114,PN RDG OIL,6065 Pine Ridge Rd,Naples,FL,34119,(239) 352-2009,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
13406,-81.802252,26.273293,NAPLES PK,11141 N Tamiami Trail,Naples,FL,34110,(239) 597-3489,05:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
6630,-81.687666,26.190825,GOLDEN GAT,12055 Collier Blvd,Naples,FL,34116,(239) 455-4544,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
26427,-81.746458,26.273677,THE STRAND,5616 Tavilla Circle,Naples,FL,34110,(239) 593-6055,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
40301,-81.595329,26.286203,ORANGETREE,13811 Immokalee Rd,Naples,FL,34120,(305) 509-5793,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
26644,-81.691117,26.272589,PEBBLEBROO,15291 Collier Blvd,Naples,FL,34119,(239) 304-1530,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
13692,-80.394906,26.008319,PEMBROKE PINES,18489 Pines Blvd,Pembroke Pines,FL,33029,(954) 430-5330,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
27469,-80.374193,25.97919,MIRAMAR PKWY. &,17001 Miramar Parkway,Miramar,FL,33027,(954) 499-8679,06:00 - 23:00,OPEN,0,0,0,1,(GMT-05:00) Eastern Time (US & Canada)
19893,-80.359581,26.030125,COQUINA FLATS SC,15911 Sheridan St,Fort Lauderdale,FL,33321,(954) 252-6018,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
25652,-80.359969,26.064214,GRIFFIN,4492 Weston Rd,Davie,FL,33331,(954) 385-3828,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
24278,-80.336621,25.979212,MIRAMAR PKWY & I,14301 Miramar Pkwy,Miramar,FL,33027,(954) 447-6337,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
14098,-80.393714,26.118287,INDIAN TRACE,326 Indian Trace,Weston,FL,33326-2996,(954) 384-4450,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
14768,-80.340583,25.942678,MIA GDNS,8505 Nw 186th St,Hialeah,FL,33015,(305) 829-5113,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
10784,-80.362638,26.106874,WESTON,1020 Weston Rd,Fort Lauderdale,FL,33326,(954) 384-1256,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
10934,-80.314387,26.007037,PINES & FLAMINGO,12480 S Pines Blvd,Pembroke Pines,FL,33027,(954) 436-2342,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
18489,-80.350484,25.896887,HIALEAH GARDENS,3355 W 80th St,Hialeah,FL,33016,(305) 827-0049,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
8061,-80.312393,26.045591,FLAMINGO,5986 S Flamingo Rd,Cooper City,FL,33328,(954) 434-0615,05:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
6382,-80.298043,26.022201,TAFT & HIATUS,11100 Taft Street,Pembroke Pines,FL,33026-2735,(954) 432-1100,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
16209,-80.319604,25.910885,MIAMI LAKES,7435 Miami Lakes Dr,Miami Lakes,FL,33014,(305) 824-0800,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
